word,pos,cefr,theme,definition,example_sentence
acid,noun,C1,General,(TBD: acid),The answer is _ .
technical,adjective,C1,General,(TBD: technical),The answer is _ .
central,noun,B2,General,(TBD: central),The answer is _ .
red,adjective,A2,General,(TBD: red),The answer is _ .
functions,noun,B1,General,(TBD: functions),The answer is _ .
filed,verb,B1,General,(TBD: filed),The answer is _ .
success,noun,B1,General,(TBD: success),The answer is _ .
caused,verb,B2,General,(TBD: caused),The answer is _ .
friend,noun,A2,General,(TBD: friend),The answer is _ .
effort,noun,B1,General,(TBD: effort),The answer is _ .
description,noun,B1,General,(TBD: description),The answer is _ .
religious,adjective,B2,General,(TBD: religious),The answer is _ .
reasons,noun,A2,General,(TBD: reasons),The answer is _ .
year,adjective,A2,General,(TBD: year),The answer is _ .
positive,adjective,B2,General,(TBD: positive),The answer is _ .
met,verb,A2,General,(TBD: met),The answer is _ .
impact,noun,B1,General,(TBD: impact),The answer is _ .
events,noun,A2,General,(TBD: events),The answer is _ .
becomes,verb,A2,General,(TBD: becomes),The answer is _ .
built,verb,A2,General,(TBD: built),The answer is _ .
following,adjective,A2,General,(TBD: following),The answer is _ .
ago,adverb,A2,General,(TBD: ago),The answer is _ .
portion,noun,C1,General,(TBD: portion),The answer is _ .
defense,noun,B2,General,(TBD: defense),The answer is _ .
rest,noun,B2,General,(TBD: rest),The answer is _ .
balance,noun,B2,General,(TBD: balance),The answer is _ .
longer,adverb,A2,General,(TBD: longer),The answer is _ .
provision,noun,C1,General,(TBD: provision),The answer is _ .
showed,verb,A2,General,(TBD: showed),The answer is _ .
approximately,adverb,B2,General,(TBD: approximately),The answer is _ .
introduction,noun,B2,General,(TBD: introduction),The answer is _ .
develop,verb,B1,General,(TBD: develop),The answer is _ .
efforts,noun,B1,General,(TBD: efforts),The answer is _ .
moved,verb,A2,General,(TBD: moved),The answer is _ .
housing,noun,A2,General,(TBD: housing),The answer is _ .
formation,noun,C1,General,(TBD: formation),The answer is _ .
increasing,verb,B1,General,(TBD: increasing),The answer is _ .
examination,noun,B2,General,(TBD: examination),The answer is _ .
certainly,adverb,B1,General,(TBD: certainly),The answer is _ .
initial,adjective,C1,General,(TBD: initial),The answer is _ .
motor,noun,B2,General,(TBD: motor),The answer is _ .
applications,noun,B2,General,(TBD: applications),The answer is _ .
employed,verb,C1,General,(TBD: employed),The answer is _ .
allow,verb,B1,General,(TBD: allow),The answer is _ .
park,noun,A2,General,(TBD: park),The answer is _ .
fully,adverb,B1,General,(TBD: fully),The answer is _ .
agriculture,noun,B2,General,(TBD: agriculture),The answer is _ .
resolution,noun,C1,General,(TBD: resolution),The answer is _ .
future,adjective,B2,General,(TBD: future),The answer is _ .
entitled,verb,C1,General,(TBD: entitled),The answer is _ .
plans,noun,B1,General,(TBD: plans),The answer is _ .
fish,noun,A2,General,(TBD: fish),The answer is _ .
chief,noun,C1,General,(TBD: chief),The answer is _ .
nations,noun,B1,General,(TBD: nations),The answer is _ .
occur,verb,B2,General,(TBD: occur),The answer is _ .
spirit,noun,B2,General,(TBD: spirit),The answer is _ .
british,noun,A2,General,(TBD: british),The answer is _ .
transfer,noun,C1,General,(TBD: transfer),The answer is _ .
independent,adjective,B2,General,(TBD: independent),The answer is _ .
content,noun,B2,General,(TBD: content),The answer is _ .
aid,noun,B2,General,(TBD: aid),The answer is _ .
formed,verb,B1,General,(TBD: formed),The answer is _ .
forest,noun,B1,General,(TBD: forest),The answer is _ .
none,noun,B2,General,(TBD: none),The answer is _ .
past,adjective,B2,General,(TBD: past),The answer is _ .
considerable,adjective,B2,General,(TBD: considerable),The answer is _ .
no,noun,A2,General,(TBD: no),The answer is _ .
maintenance,noun,B2,General,(TBD: maintenance),The answer is _ .
paul,noun,A2,General,(TBD: paul),The answer is _ .
serious,adjective,B2,General,(TBD: serious),The answer is _ .
claims,noun,B1,General,(TBD: claims),The answer is _ .
adopted,verb,C1,General,(TBD: adopted),The answer is _ .
tests,noun,B1,General,(TBD: tests),The answer is _ .
recently,adverb,B1,General,(TBD: recently),The answer is _ .
created,verb,B1,General,(TBD: created),The answer is _ .
takes,verb,B1,General,(TBD: takes),The answer is _ .
increase,verb,B1,General,(TBD: increase),The answer is _ .
weeks,noun,A2,General,(TBD: weeks),The answer is _ .
professor,noun,B2,General,(TBD: professor),The answer is _ .
measures,noun,B2,General,(TBD: measures),The answer is _ .
agencies,noun,B1,General,(TBD: agencies),The answer is _ .
summer,noun,A2,General,(TBD: summer),The answer is _ .
constant,adjective,C1,General,(TBD: constant),The answer is _ .
decided,verb,B1,General,(TBD: decided),The answer is _ .
principles,noun,B2,General,(TBD: principles),The answer is _ .
claim,noun,B2,General,(TBD: claim),The answer is _ .
eight,noun,A2,General,(TBD: eight),The answer is _ .
selected,verb,B2,General,(TBD: selected),The answer is _ .
seven,noun,A2,General,(TBD: seven),The answer is _ .
hour,noun,A2,General,(TBD: hour),The answer is _ .
born,verb,A2,General,(TBD: born),The answer is _ .
judge,noun,B2,General,(TBD: judge),The answer is _ .
truth,noun,B1,General,(TBD: truth),The answer is _ .
communication,noun,B1,General,(TBD: communication),The answer is _ .
japan,noun,A2,General,(TBD: japan),The answer is _ .
characteristics,noun,B2,General,(TBD: characteristics),The answer is _ .
individual,noun,C1,General,(TBD: individual),The answer is _ .
write,verb,A2,General,(TBD: write),The answer is _ .
try,verb,B1,General,(TBD: try),The answer is _ .
getting,verb,A2,General,(TBD: getting),The answer is _ .
organizations,noun,B2,General,(TBD: organizations),The answer is _ .
essential,adjective,B2,General,(TBD: essential),The answer is _ .
concerning,verb,C1,General,(TBD: concerning),The answer is _ .
david,noun,A2,General,(TBD: david),The answer is _ .
budget,noun,B1,General,(TBD: budget),The answer is _ .
majority,noun,B2,General,(TBD: majority),The answer is _ .
covered,verb,A2,General,(TBD: covered),The answer is _ .
scale,noun,B1,General,(TBD: scale),The answer is _ .
proceedings,noun,B2,General,(TBD: proceedings),The answer is _ .
object,noun,B2,General,(TBD: object),The answer is _ .
separate,adjective,B1,General,(TBD: separate),The answer is _ .
reduction,noun,B2,General,(TBD: reduction),The answer is _ .
died,verb,B1,General,(TBD: died),The answer is _ .
worked,verb,A2,General,(TBD: worked),The answer is _ .
processes,noun,B2,General,(TBD: processes),The answer is _ .
papers,noun,A2,General,(TBD: papers),The answer is _ .
follow,verb,B1,General,(TBD: follow),The answer is _ .
right,adverb,A2,General,(TBD: right),The answer is _ .
providing,verb,B1,General,(TBD: providing),The answer is _ .
post,noun,A2,General,(TBD: post),The answer is _ .
address,noun,A2,General,(TBD: address),The answer is _ .
estimated,verb,C1,General,(TBD: estimated),The answer is _ .
add,verb,A2,General,(TBD: add),The answer is _ .
meaning,noun,B1,General,(TBD: meaning),The answer is _ .
remain,verb,B1,General,(TBD: remain),The answer is _ .
projects,noun,C1,General,(TBD: projects),The answer is _ .
powers,noun,B1,General,(TBD: powers),The answer is _ .
regard,noun,C1,General,(TBD: regard),The answer is _ .
prior,adverb,C1,General,(TBD: prior),The answer is _ .
amended,verb,B1,General,(TBD: amended),The answer is _ .
indicated,verb,B1,General,(TBD: indicated),The answer is _ .
letters,noun,A2,General,(TBD: letters),The answer is _ .
wood,noun,B1,General,(TBD: wood),The answer is _ .
offered,verb,B1,General,(TBD: offered),The answer is _ .
metal,noun,B1,General,(TBD: metal),The answer is _ .
floor,noun,A2,General,(TBD: floor),The answer is _ .
africa,noun,A2,General,(TBD: africa),The answer is _ .
request,noun,B1,General,(TBD: request),The answer is _ .
highly,adverb,B2,General,(TBD: highly),The answer is _ .
understanding,noun,C1,General,(TBD: understanding),The answer is _ .
henry,noun,A2,General,(TBD: henry),The answer is _ .
british,adjective,A2,General,(TBD: british),The answer is _ .
expression,noun,B1,General,(TBD: expression),The answer is _ .
reasonable,adjective,B2,General,(TBD: reasonable),The answer is _ .
step,noun,B1,General,(TBD: step),The answer is _ .
middle,noun,B1,General,(TBD: middle),The answer is _ .
responsible,adjective,B2,General,(TBD: responsible),The answer is _ .
agent,noun,B1,General,(TBD: agent),The answer is _ .
hall,noun,A2,General,(TBD: hall),The answer is _ .
spring,noun,A2,General,(TBD: spring),The answer is _ .
appeared,verb,B1,General,(TBD: appeared),The answer is _ .
located,verb,B2,General,(TBD: located),The answer is _ .
serve,verb,B1,General,(TBD: serve),The answer is _ .
practical,adjective,B2,General,(TBD: practical),The answer is _ .
personnel,noun,C1,General,(TBD: personnel),The answer is _ .
heavy,adjective,A2,General,(TBD: heavy),The answer is _ .
instance,noun,B2,General,(TBD: instance),The answer is _ .
employee,noun,C1,General,(TBD: employee),The answer is _ .
social,noun,A2,General,(TBD: social),The answer is _ .
output,noun,C1,General,(TBD: output),The answer is _ .
suggested,verb,B1,General,(TBD: suggested),The answer is _ .
tried,verb,A2,General,(TBD: tried),The answer is _ .
principle,noun,B2,General,(TBD: principle),The answer is _ .
animals,noun,A2,General,(TBD: animals),The answer is _ .
useful,adjective,B1,General,(TBD: useful),The answer is _ .
items,noun,A2,General,(TBD: items),The answer is _ .
critical,adjective,B2,General,(TBD: critical),The answer is _ .
relatively,adverb,B2,General,(TBD: relatively),The answer is _ .
places,noun,B1,General,(TBD: places),The answer is _ .
run,verb,A2,General,(TBD: run),The answer is _ .
professional,adjective,B1,General,(TBD: professional),The answer is _ .
well,adjective,A2,General,(TBD: well),The answer is _ .
easily,adverb,B1,General,(TBD: easily),The answer is _ .
hear,verb,A2,General,(TBD: hear),The answer is _ .
standard,adjective,C1,General,(TBD: standard),The answer is _ .
approved,verb,B2,General,(TBD: approved),The answer is _ .
expenses,noun,B2,General,(TBD: expenses),The answer is _ .
procedures,noun,C1,General,(TBD: procedures),The answer is _ .
served,verb,B1,General,(TBD: served),The answer is _ .
deep,adjective,C1,General,(TBD: deep),The answer is _ .
frequency,noun,B2,General,(TBD: frequency),The answer is _ .
commerce,noun,C1,General,(TBD: commerce),The answer is _ .
assembly,noun,C1,General,(TBD: assembly),The answer is _ .
learning,noun,C1,General,(TBD: learning),The answer is _ .
variety,noun,B2,General,(TBD: variety),The answer is _ .
contains,verb,B2,General,(TBD: contains),The answer is _ .
see,noun,A2,General,(TBD: see),The answer is _ .
teacher,noun,A2,General,(TBD: teacher),The answer is _ .
requires,verb,B2,General,(TBD: requires),The answer is _ .
responsibility,noun,B2,General,(TBD: responsibility),The answer is _ .
legislation,noun,C1,General,(TBD: legislation),The answer is _ .
ready,adjective,A2,General,(TBD: ready),The answer is _ .
else,adverb,A2,General,(TBD: else),The answer is _ .
error,noun,B1,General,(TBD: error),The answer is _ .
cultural,adjective,B2,General,(TBD: cultural),The answer is _ .
event,noun,A2,General,(TBD: event),The answer is _ .
trying,verb,A2,General,(TBD: trying),The answer is _ .
reaction,noun,C1,General,(TBD: reaction),The answer is _ .
task,noun,B1,General,(TBD: task),The answer is _ .
image,noun,B1,General,(TBD: image),The answer is _ .
appeal,noun,B2,General,(TBD: appeal),The answer is _ .
raised,verb,B1,General,(TBD: raised),The answer is _ .
gone,verb,B1,General,(TBD: gone),The answer is _ .
policies,noun,B2,General,(TBD: policies),The answer is _ .
net,adjective,B1,General,(TBD: net),The answer is _ .
assessment,noun,C1,General,(TBD: assessment),The answer is _ .
change,verb,A2,General,(TBD: change),The answer is _ .
successful,adjective,A2,General,(TBD: successful),The answer is _ .
ideas,noun,A2,General,(TBD: ideas),The answer is _ .
bad,adjective,A2,General,(TBD: bad),The answer is _ .
lack,noun,B1,General,(TBD: lack),The answer is _ .
will,noun,C1,General,(TBD: will),The answer is _ .
choice,noun,B1,General,(TBD: choice),The answer is _ .
administrative,adjective,C1,General,(TBD: administrative),The answer is _ .
top,noun,A2,General,(TBD: top),The answer is _ .
obtain,verb,B2,General,(TBD: obtain),The answer is _ .
agreed,verb,A2,General,(TBD: agreed),The answer is _ .
master,noun,C1,General,(TBD: master),The answer is _ .
dollars,noun,A2,General,(TBD: dollars),The answer is _ .
entered,verb,B1,General,(TBD: entered),The answer is _ .
move,verb,B1,General,(TBD: move),The answer is _ .
features,noun,B2,General,(TBD: features),The answer is _ .
cut,verb,A2,General,(TBD: cut),The answer is _ .
existence,noun,B2,General,(TBD: existence),The answer is _ .
arms,noun,B1,General,(TBD: arms),The answer is _ .
manager,noun,B1,General,(TBD: manager),The answer is _ .
color,noun,A2,General,(TBD: color),The answer is _ .
returned,verb,B1,General,(TBD: returned),The answer is _ .
bed,noun,A2,General,(TBD: bed),The answer is _ .
drug,noun,B1,General,(TBD: drug),The answer is _ .
carry,verb,A2,General,(TBD: carry),The answer is _ .
glass,noun,A2,General,(TBD: glass),The answer is _ .
paragraph,noun,A2,General,(TBD: paragraph),The answer is _ .
film,noun,B1,General,(TBD: film),The answer is _ .
create,verb,B1,General,(TBD: create),The answer is _ .
location,noun,B2,General,(TBD: location),The answer is _ .
banks,noun,A2,General,(TBD: banks),The answer is _ .
growing,verb,C1,General,(TBD: growing),The answer is _ .
better,adverb,B1,General,(TBD: better),The answer is _ .
industries,noun,B2,General,(TBD: industries),The answer is _ .
sold,verb,A2,General,(TBD: sold),The answer is _ .
easy,adjective,A2,General,(TBD: easy),The answer is _ .
actions,noun,A2,General,(TBD: actions),The answer is _ .
models,noun,B1,General,(TBD: models),The answer is _ .
orders,noun,A2,General,(TBD: orders),The answer is _ .
election,noun,B2,General,(TBD: election),The answer is _ .
introduced,verb,A2,General,(TBD: introduced),The answer is _ .
summary,noun,B1,General,(TBD: summary),The answer is _ .
prevent,verb,B1,General,(TBD: prevent),The answer is _ .
past,noun,A2,General,(TBD: past),The answer is _ .
revenue,noun,C1,General,(TBD: revenue),The answer is _ .
names,noun,B1,General,(TBD: names),The answer is _ .
families,noun,A2,General,(TBD: families),The answer is _ .
picture,noun,A2,General,(TBD: picture),The answer is _ .
cities,noun,A2,General,(TBD: cities),The answer is _ .
potential,adjective,C1,General,(TBD: potential),The answer is _ .
evaluation,noun,C1,General,(TBD: evaluation),The answer is _ .
compensation,noun,C1,General,(TBD: compensation),The answer is _ .
western,adjective,C1,General,(TBD: western),The answer is _ .
courts,noun,B1,General,(TBD: courts),The answer is _ .
foundation,noun,B2,General,(TBD: foundation),The answer is _ .
remember,verb,A2,General,(TBD: remember),The answer is _ .
benefit,noun,B2,General,(TBD: benefit),The answer is _ .
above,adjective,B2,General,(TBD: above),The answer is _ .
matters,noun,A2,General,(TBD: matters),The answer is _ .
investigation,noun,B2,General,(TBD: investigation),The answer is _ .
myself,pronoun,B1,General,(TBD: myself),The answer is _ .
someone,noun,A2,General,(TBD: someone),The answer is _ .
wrote,verb,A2,General,(TBD: wrote),The answer is _ .
support,verb,B2,General,(TBD: support),The answer is _ .
treated,verb,B2,General,(TBD: treated),The answer is _ .
interesting,adjective,A2,General,(TBD: interesting),The answer is _ .
freedom,noun,B1,General,(TBD: freedom),The answer is _ .
ratio,noun,A2,General,(TBD: ratio),The answer is _ .
pattern,noun,B2,General,(TBD: pattern),The answer is _ .
domestic,adjective,C1,General,(TBD: domestic),The answer is _ .
determination,noun,B2,General,(TBD: determination),The answer is _ .
great,noun,A2,General,(TBD: great),The answer is _ .
concept,noun,B2,General,(TBD: concept),The answer is _ .
trees,noun,A2,General,(TBD: trees),The answer is _ .
completed,verb,B1,General,(TBD: completed),The answer is _ .
regular,adjective,B1,General,(TBD: regular),The answer is _ .
lands,noun,B1,General,(TBD: lands),The answer is _ .
bar,noun,A2,General,(TBD: bar),The answer is _ .
complex,adjective,B2,General,(TBD: complex),The answer is _ .
network,noun,B2,General,(TBD: network),The answer is _ .
civil,adjective,B2,General,(TBD: civil),The answer is _ .
laboratory,noun,B2,General,(TBD: laboratory),The answer is _ .
containing,verb,B2,General,(TBD: containing),The answer is _ .
completely,adverb,B2,General,(TBD: completely),The answer is _ .
regulation,noun,B2,General,(TBD: regulation),The answer is _ .
merely,adverb,B2,General,(TBD: merely),The answer is _ .
experimental,adjective,A2,General,(TBD: experimental),The answer is _ .
speed,noun,B1,General,(TBD: speed),The answer is _ .
thereof,adverb,A2,General,(TBD: thereof),The answer is _ .
hill,noun,A2,General,(TBD: hill),The answer is _ .
classes,noun,A2,General,(TBD: classes),The answer is _ .
taxes,noun,B2,General,(TBD: taxes),The answer is _ .
improvement,noun,B2,General,(TBD: improvement),The answer is _ .
articles,noun,A2,General,(TBD: articles),The answer is _ .
forward,adverb,B1,General,(TBD: forward),The answer is _ .
expressed,verb,B1,General,(TBD: expressed),The answer is _ .
indicate,verb,B1,General,(TBD: indicate),The answer is _ .
white,noun,A2,General,(TBD: white),The answer is _ .
mm,noun,A2,General,(TBD: mm),The answer is _ .
relief,noun,C1,General,(TBD: relief),The answer is _ .
dark,adjective,A2,General,(TBD: dark),The answer is _ .
accepted,verb,B1,General,(TBD: accepted),The answer is _ .
re,noun,A2,General,(TBD: re),The answer is _ .
changed,verb,A2,General,(TBD: changed),The answer is _ .
labour,noun,B1,General,(TBD: labour),The answer is _ .
negative,adjective,B1,General,(TBD: negative),The answer is _ .
internal,adjective,B2,General,(TBD: internal),The answer is _ .
educational,adjective,B1,General,(TBD: educational),The answer is _ .
ohio,noun,A2,General,(TBD: ohio),The answer is _ .
faith,noun,C1,General,(TBD: faith),The answer is _ .
techniques,noun,B2,General,(TBD: techniques),The answer is _ .
european,adjective,A2,General,(TBD: european),The answer is _ .
outside,preposition,B1,General,(TBD: outside),The answer is _ .
fields,noun,A2,General,(TBD: fields),The answer is _ .
publication,noun,C1,General,(TBD: publication),The answer is _ .
secondary,adjective,C1,General,(TBD: secondary),The answer is _ .
regarding,verb,B2,General,(TBD: regarding),The answer is _ .
mary,noun,A2,General,(TBD: mary),The answer is _ .
decisions,noun,B2,General,(TBD: decisions),The answer is _ .
eye,noun,A2,General,(TBD: eye),The answer is _ .
speak,verb,A2,General,(TBD: speak),The answer is _ .
bonds,noun,B2,General,(TBD: bonds),The answer is _ .
statistics,noun,C1,General,(TBD: statistics),The answer is _ .
telephone,noun,A2,General,(TBD: telephone),The answer is _ .
upper,adjective,B2,General,(TBD: upper),The answer is _ .
previously,adverb,C1,General,(TBD: previously),The answer is _ .
first,noun,A2,General,(TBD: first),The answer is _ .
maintain,verb,B2,General,(TBD: maintain),The answer is _ .
entirely,adverb,B2,General,(TBD: entirely),The answer is _ .
branch,noun,B1,General,(TBD: branch),The answer is _ .
contained,verb,B2,General,(TBD: contained),The answer is _ .
gold,noun,B1,General,(TBD: gold),The answer is _ .
details,noun,B1,General,(TBD: details),The answer is _ .
buildings,noun,A2,General,(TBD: buildings),The answer is _ .
frequently,adverb,B2,General,(TBD: frequently),The answer is _ .
girl,noun,A2,General,(TBD: girl),The answer is _ .
fuel,noun,B2,General,(TBD: fuel),The answer is _ .
rock,noun,B1,General,(TBD: rock),The answer is _ .
fiscal,adjective,C1,General,(TBD: fiscal),The answer is _ .
whatever,determiner,B1,General,(TBD: whatever),The answer is _ .
cause,verb,B1,General,(TBD: cause),The answer is _ .
establish,verb,B1,General,(TBD: establish),The answer is _ .
constitution,noun,B2,General,(TBD: constitution),The answer is _ .
forth,adverb,B2,General,(TBD: forth),The answer is _ .
represented,verb,B1,General,(TBD: represented),The answer is _ .
performed,verb,B1,General,(TBD: performed),The answer is _ .
french,noun,A2,General,(TBD: french),The answer is _ .
tree,noun,A2,General,(TBD: tree),The answer is _ .
comparison,noun,B2,General,(TBD: comparison),The answer is _ .
vice,noun,B2,General,(TBD: vice),The answer is _ .
aspects,noun,B2,General,(TBD: aspects),The answer is _ .
subjects,noun,A2,General,(TBD: subjects),The answer is _ .
living,noun,C1,General,(TBD: living),The answer is _ .
thousand,noun,B1,General,(TBD: thousand),The answer is _ .
boy,noun,A2,General,(TBD: boy),The answer is _ .
sun,noun,A2,General,(TBD: sun),The answer is _ .
husband,noun,A2,General,(TBD: husband),The answer is _ .
share,noun,B1,General,(TBD: share),The answer is _ .
developing,verb,C1,General,(TBD: developing),The answer is _ .
smaller,adjective,A2,General,(TBD: smaller),The answer is _ .
german,adjective,A2,General,(TBD: german),The answer is _ .
little,adverb,A2,General,(TBD: little),The answer is _ .
appointed,verb,B2,General,(TBD: appointed),The answer is _ .
reduce,verb,B2,General,(TBD: reduce),The answer is _ .
beginning,noun,B1,General,(TBD: beginning),The answer is _ .
copy,noun,A2,General,(TBD: copy),The answer is _ .
somewhat,adverb,C1,General,(TBD: somewhat),The answer is _ .
turn,verb,A2,General,(TBD: turn),The answer is _ .
resistance,noun,C1,General,(TBD: resistance),The answer is _ .
animal,noun,A2,General,(TBD: animal),The answer is _ .
reading,noun,A2,General,(TBD: reading),The answer is _ .
executive,noun,C1,General,(TBD: executive),The answer is _ .
acts,noun,B1,General,(TBD: acts),The answer is _ .
context,noun,B1,General,(TBD: context),The answer is _ .
limited,verb,B2,General,(TBD: limited),The answer is _ .
texas,noun,C2,General,(TBD: texas),The answer is _ .
back,noun,A2,General,(TBD: back),The answer is _ .
despite,preposition,B2,General,(TBD: despite),The answer is _ .
speech,noun,A2,General,(TBD: speech),The answer is _ .
structures,noun,B1,General,(TBD: structures),The answer is _ .
milk,noun,A2,General,(TBD: milk),The answer is _ .
showing,verb,A2,General,(TBD: showing),The answer is _ .
ordinary,adjective,B2,General,(TBD: ordinary),The answer is _ .
historical,adjective,B2,General,(TBD: historical),The answer is _ .
removed,verb,B2,General,(TBD: removed),The answer is _ .
environmental,adjective,B2,General,(TBD: environmental),The answer is _ .
concentration,noun,B2,General,(TBD: concentration),The answer is _ .
whereas,preposition,C1,General,(TBD: whereas),The answer is _ .
quickly,adverb,A2,General,(TBD: quickly),The answer is _ .
agricultural,adjective,B2,General,(TBD: agricultural),The answer is _ .
thought,noun,B1,General,(TBD: thought),The answer is _ .
sum,noun,A2,General,(TBD: sum),The answer is _ .
cash,noun,B1,General,(TBD: cash),The answer is _ .
stood,verb,A2,General,(TBD: stood),The answer is _ .
granted,verb,B2,General,(TBD: granted),The answer is _ .
percentage,noun,C1,General,(TBD: percentage),The answer is _ .
measure,noun,B2,General,(TBD: measure),The answer is _ .
duties,noun,B2,General,(TBD: duties),The answer is _ .
coast,noun,B1,General,(TBD: coast),The answer is _ .
relating,verb,B2,General,(TBD: relating),The answer is _ .
high,noun,A2,General,(TBD: high),The answer is _ .
richard,noun,A2,General,(TBD: richard),The answer is _ .
herself,pronoun,B1,General,(TBD: herself),The answer is _ .
assets,noun,B2,General,(TBD: assets),The answer is _ .
governor,noun,B2,General,(TBD: governor),The answer is _ .
winter,noun,A2,General,(TBD: winter),The answer is _ .
doubt,noun,B1,General,(TBD: doubt),The answer is _ .
table,adjective,A2,General,(TBD: table),The answer is _ .
opened,verb,A2,General,(TBD: opened),The answer is _ .
traffic,noun,B1,General,(TBD: traffic),The answer is _ .
railroad,noun,B2,General,(TBD: railroad),The answer is _ .
pain,noun,B2,General,(TBD: pain),The answer is _ .
examples,noun,A2,General,(TBD: examples),The answer is _ .
convention,noun,C1,General,(TBD: convention),The answer is _ .
media,noun,C1,General,(TBD: media),The answer is _ .
ed,adjective,A2,General,(TBD: ed),The answer is _ .
traditional,adjective,B1,General,(TBD: traditional),The answer is _ .
brother,noun,A2,General,(TBD: brother),The answer is _ .
authorities,noun,B2,General,(TBD: authorities),The answer is _ .
mark,noun,B1,General,(TBD: mark),The answer is _ .
leading,verb,B2,General,(TBD: leading),The answer is _ .
dead,adjective,B1,General,(TBD: dead),The answer is _ .
stone,noun,A2,General,(TBD: stone),The answer is _ .
assistant,noun,B2,General,(TBD: assistant),The answer is _ .
practices,noun,A2,General,(TBD: practices),The answer is _ .
plate,noun,B1,General,(TBD: plate),The answer is _ .
representatives,noun,B2,General,(TBD: representatives),The answer is _ .
scientific,adjective,B1,General,(TBD: scientific),The answer is _ .
owner,noun,A2,General,(TBD: owner),The answer is _ .
living,verb,B1,General,(TBD: living),The answer is _ .
ones,noun,A2,General,(TBD: ones),The answer is _ .
saying,verb,B1,General,(TBD: saying),The answer is _ .
learn,verb,A2,General,(TBD: learn),The answer is _ .
iv,noun,A2,General,(TBD: iv),The answer is _ .
latter,adjective,C1,General,(TBD: latter),The answer is _ .
conclusion,noun,B2,General,(TBD: conclusion),The answer is _ .
game,noun,A2,General,(TBD: game),The answer is _ .
paris,noun,B1,General,(TBD: paris),The answer is _ .
village,noun,B1,General,(TBD: village),The answer is _ .
accounts,noun,B1,General,(TBD: accounts),The answer is _ .
la,noun,Unknown,General,(TBD: la),The answer is _ .
third,noun,B1,General,(TBD: third),The answer is _ .
send,verb,B1,General,(TBD: send),The answer is _ .
radio,noun,A2,General,(TBD: radio),The answer is _ .
absence,noun,B2,General,(TBD: absence),The answer is _ .
storage,noun,B2,General,(TBD: storage),The answer is _ .
like,adjective,A2,General,(TBD: like),The answer is _ .
slightly,adverb,B2,General,(TBD: slightly),The answer is _ .
help,noun,B1,General,(TBD: help),The answer is _ .
hearing,noun,B2,General,(TBD: hearing),The answer is _ .
valley,noun,B1,General,(TBD: valley),The answer is _ .
fixed,verb,C1,General,(TBD: fixed),The answer is _ .
ed,noun,A2,General,(TBD: ed),The answer is _ .
definition,noun,B2,General,(TBD: definition),The answer is _ .
occurred,verb,B2,General,(TBD: occurred),The answer is _ .
intended,verb,B2,General,(TBD: intended),The answer is _ .
begin,verb,A2,General,(TBD: begin),The answer is _ .
enter,verb,B1,General,(TBD: enter),The answer is _ .
element,noun,B2,General,(TBD: element),The answer is _ .
lead,verb,B2,General,(TBD: lead),The answer is _ .
tons,noun,C1,General,(TBD: tons),The answer is _ .
memory,noun,A2,General,(TBD: memory),The answer is _ .
circuit,noun,C1,General,(TBD: circuit),The answer is _ .
respectively,adverb,B2,General,(TBD: respectively),The answer is _ .
wrong,adjective,A2,General,(TBD: wrong),The answer is _ .
remained,verb,B1,General,(TBD: remained),The answer is _ .
transport,noun,B2,General,(TBD: transport),The answer is _ .
components,noun,C1,General,(TBD: components),The answer is _ .
payments,noun,C1,General,(TBD: payments),The answer is _ .
steps,noun,A2,General,(TBD: steps),The answer is _ .
ordered,verb,A2,General,(TBD: ordered),The answer is _ .
team,noun,A2,General,(TBD: team),The answer is _ .
clinical,adjective,A2,General,(TBD: clinical),The answer is _ .
goes,verb,B1,General,(TBD: goes),The answer is _ .
remains,verb,C1,General,(TBD: remains),The answer is _ .
measured,verb,B2,General,(TBD: measured),The answer is _ .
cold,adjective,A2,General,(TBD: cold),The answer is _ .
loan,noun,C1,General,(TBD: loan),The answer is _ .
second,noun,B1,General,(TBD: second),The answer is _ .
railway,noun,B2,General,(TBD: railway),The answer is _ .
avoid,verb,B1,General,(TBD: avoid),The answer is _ .
miss,noun,A2,General,(TBD: miss),The answer is _ .
principal,adjective,B1,General,(TBD: principal),The answer is _ .
accordance,noun,A2,General,(TBD: accordance),The answer is _ .
pages,noun,A2,General,(TBD: pages),The answer is _ .
represent,verb,B1,General,(TBD: represent),The answer is _ .
fair,adjective,A2,General,(TBD: fair),The answer is _ .
dry,adjective,A2,General,(TBD: dry),The answer is _ .
jurisdiction,noun,A2,General,(TBD: jurisdiction),The answer is _ .
spent,verb,A2,General,(TBD: spent),The answer is _ .
conducted,verb,B2,General,(TBD: conducted),The answer is _ .
britain,noun,A2,General,(TBD: britain),The answer is _ .
experiments,noun,B2,General,(TBD: experiments),The answer is _ .
advantage,noun,B1,General,(TBD: advantage),The answer is _ .
selection,noun,B2,General,(TBD: selection),The answer is _ .
self,adjective,A2,General,(TBD: self),The answer is _ .
session,noun,B2,General,(TBD: session),The answer is _ .
attorney,noun,A2,General,(TBD: attorney),The answer is _ .
authorized,verb,C1,General,(TBD: authorized),The answer is _ .
hair,noun,A2,General,(TBD: hair),The answer is _ .
occurs,verb,B2,General,(TBD: occurs),The answer is _ .
grant,noun,B2,General,(TBD: grant),The answer is _ .
down,preposition,B1,General,(TBD: down),The answer is _ .
